   1     ;   657    ;  3.2583 
   2     ;   592    ;  7.4694 
   3     ;   907    ;  9.5866 
   4     ;   979    ;  3.0162 
   5     ;   573    ;  8.6443 
   6     ;   237    ;  9.5094 
   7     ;   969    ;  5.0345 
   8     ;    43    ;  3.7123 
   9     ;   990    ;  9.5578 
   10    ;   679    ;  1.5049 
   11    ;   932    ;  8.2066 
   12    ;   567    ;  2.6553 
   13    ;   733    ;  2.8981 
   14    ;   763    ;  9.7175 
   15    ;   625    ;  5.5728 
   16    ;   962    ;  3.2548 
   17    ;   784    ;  5.0339 
   18    ;   412    ;  7.0884 
   19    ;   748    ;  6.8142 
   20    ;   318    ;  8.6629 
   21    ;   876    ;  9.5314 
   22    ;   381    ;  5.4025 
   23    ;   609    ;  6.2017 
   24    ;   880    ;  4.0565 
   25    ;   444    ;  4.2933 
